HOUSEID,HHFAMINC,HHSIZE,HHVEHCNT,URBRUR,MSASIZE,TRAVDAY,TRPMILES,VEHAGE,VEHOWNED,VEHFUEL,DRIVINGOCCUPATION,LIF_CYC,LAST30_PT,LAST30_BIKE,LAST30_ESCT,LAST30_RDSHR,LAST30_TAXI,LAST30_WALK,BIKETRANSIT,DRIVER,TRPTRANS,CONDNONE,CONDTRAV,COV1_PT,COV2_PT
9000216910,9,4,1,1,4,2,27.48663766,3,1,1,2,5,2,1,2,1,2,1,2,1,1,-1,-1,3,3
9000216910,9,4,1,1,4,2,3.52765693,3,1,1,2,5,2,1,2,1,2,1,2,1,1,-1,-1,3,3
9000216910,9,4,1,1,4,2,27.25730267,3,1,1,2,5,2,1,2,1,2,1,2,1,1,-1,-1,3,3
9000216910,9,4,1,1,4,2,20.4151647,3,1,1,2,5,2,1,2,1,2,1,2,1,1,-1,-1,3,3
9000216910,9,4,1,1,4,2,9.452454941,3,1,1,2,5,2,1,2,1,2,1,2,1,1,-1,-1,3,3
9000216910,9,4,1,1,4,2,12.55065258,3,1,1,2,5,2,1,2,1,2,1,2,1,1,-1,-1,3,3
9000216910,9,4,1,1,4,2,44.00372902,3,1,1,2,5,2,1,2,1,2,1,2,2,1,-1,-1,3,3
9000216910,9,4,1,1,4,2,21.09571162,3,1,1,2,5,2,1,2,1,2,1,2,-1,1,-1,-1,3,3
9000216910,9,4,1,1,4,2,1.96457427,3,1,1,2,5,2,1,2,1,2,1,2,-1,1,-1,-1,3,3
9000216935,11,2,2,1,3,7,20.1081417,10,1,1,1,2,1,2,2,2,2,1,-1,1,4,-1,-1,3,2
9000216935,11,2,2,1,3,7,15.26848975,10,1,1,1,2,1,2,2,2,2,1,-1,1,3,-1,-1,3,2
9000216939,3,2,1,1,2,5,22.08887508,13,1,1,-1,10,1,1,2,2,2,1,4,1,1,2,2,5,-1
9000216965,6,2,1,1,1,4,1.596643878,6,2,1,2,2,2,1,2,2,2,1,28,1,1,-1,-1,2,-1
9000216991,11,2,3,1,5,6,53.28402735,12,1,1,2,2,2,2,2,2,2,1,-1,1,3,-1,-1,4,-1
9000216991,11,2,3,1,5,6,24.60845245,12,1,1,2,2,2,2,2,2,2,1,-1,1,3,-1,-1,4,-1
9000217010,6,1,2,2,4,5,5.180857676,1,1,1,1,1,2,1,2,2,2,1,1,1,3,-1,-1,4,-1
9000217010,6,1,2,2,4,5,8.125543816,1,1,1,1,1,2,1,2,2,2,1,1,1,3,-1,-1,4,-1
9000217017,11,4,1,1,5,2,7.142324425,12,1,1,-1,6,1,2,2,2,2,1,-1,1,3,-1,-1,3,1
9000217017,11,4,1,1,5,2,6.982597887,12,1,1,-1,6,1,2,2,2,2,1,-1,1,3,-1,-1,3,1
9000217017,11,4,1,1,5,2,5.408328154,12,1,1,-1,6,1,2,2,2,2,1,-1,1,8,-1,-1,3,1
9000217017,11,4,1,1,5,2,0.878806712,12,1,1,-1,6,1,2,2,2,2,1,-1,-1,20,-1,-1,3,1
9000217088,7,1,1,1,4,5,13.0621504,5,1,1,-1,9,2,2,2,1,2,1,-1,1,1,-1,-1,1,2
9000217119,8,2,2,1,3,1,13.94282163,22,1,1,-1,10,2,2,2,2,2,1,-1,1,3,-1,-1,2,-1
9000217119,8,2,2,1,3,1,15.62585457,22,1,1,-1,10,2,2,2,2,2,1,-1,1,3,-1,-1,2,-1
9000217124,11,4,3,1,2,3,12.57675575,19,1,2,2,4,1,2,2,2,2,1,-1,1,1,-1,-1,2,-1
9000217125,8,1,1,1,5,1,0.370416408,4,1,1,-1,9,1,2,2,1,1,1,-1,1,20,-1,-1,2,-1
9000217125,8,1,1,1,5,1,41.3536358,4,1,1,-1,9,1,2,2,1,1,1,-1,1,1,-1,-1,2,-1
9000217125,8,1,1,1,5,1,41.44934742,4,1,1,-1,9,1,2,2,1,1,1,-1,1,1,-1,-1,2,-1
9000217171,8,2,2,1,5,3,5.507147296,11,1,1,-1,10,2,2,2,2,2,2,-1,1,2,-1,-1,2,-1
9000217181,-7,5,2,1,3,6,0.729024239,10,1,1,2,6,1,2,2,1,2,1,-1,1,3,-1,-1,3,2
